raw_value,occurrences,kind,normalized_name,type_prefix,length_ft,confidence,rationale
M/V Green Ledge,1,vessel,M/V Green Ledge,M/V,,high,recognized vessel type prefix
M/V Green Tern,1,vessel,M/V Green Tern,M/V,,high,recognized vessel type prefix
M/V Grey Cove,1,vessel,M/V Grey Cove,M/V,,high,recognized vessel type prefix
M/V Grey Petrel,1,vessel,M/V Grey Petrel,M/V,,high,recognized vessel type prefix
M/V HIGH BEACON,1,vessel,M/V High Beacon,M/V,,high,recognized vessel type prefix
M/V HIGH COVE,1,vessel,M/V High Cove,M/V,,high,recognized vessel type prefix
M/V Iron Fathom,1,vessel,M/V Iron Fathom,M/V,,high,recognized vessel type prefix
M/V Iron Star,1,vessel,M/V Iron Star,M/V,,high,recognized vessel type prefix
M/V Iron Tern,1,vessel,M/V Iron Tern,M/V,,high,recognized vessel type prefix
M/V Long Tern,1,vessel,M/V Long Tern,M/V,,high,recognized vessel type prefix
M/V Long Wind,1,vessel,M/V Long Wind,M/V,40,high,recognized vessel type prefix
M/V NORTHERN PETREL,1,vessel,M/V Northern Petrel,M/V,,high,recognized vessel type prefix
M/V Northern Current,1,vessel,M/V Northern Current,M/V,,high,recognized vessel type prefix
M/V Northern Kestrel,1,vessel,M/V Northern Kestrel,M/V,,high,recognized vessel type prefix
M/V Quiet Compass,1,vessel,M/V Quiet Compass,M/V,,high,recognized vessel type prefix
M/V Quiet Ledge,1,vessel,M/V Quiet Ledge,M/V,,high,recognized vessel type prefix
M/V Quiet Reef,1,vessel,M/V Quiet Reef,M/V,,high,recognized vessel type prefix
M/V Quiet Sextant,1,vessel,M/V Quiet Sextant,M/V,,high,recognized vessel type prefix
M/V Salt Petrel,1,vessel,M/V Salt Petrel,M/V,,high,recognized vessel type prefix
M/V Salt Sextant,1,vessel,M/V Salt Sextant,M/V,,high,recognized vessel type prefix
M/V Silver Dory,1,vessel,M/V Silver Dory,M/V,,high,recognized vessel type prefix
M/V Silver Marlin,1,vessel,M/V Silver Marlin,M/V,,high,recognized vessel type prefix
M/V Swift Petrel,1,vessel,M/V Swift Petrel,M/V,,high,recognized vessel type prefix
M/V Swift Voyager,1,vessel,M/V Swift Voyager,M/V,,high,recognized vessel type prefix
M/V WILD FATHOM,1,vessel,M/V Wild Fathom,M/V,,high,recognized vessel type prefix
M/V Western Harbor,1,vessel,M/V Western Harbor,M/V,,high,recognized vessel type prefix
M/V Western Horizon,1,vessel,M/V Western Horizon,M/V,,high,recognized vessel type prefix
M/V Western Ketch,1,vessel,M/V Western Ketch,M/V,,high,recognized vessel type prefix
M/V Western Marlin,1,vessel,M/V Western Marlin,M/V,,high,recognized vessel type prefix
M/Y Blue Compass,1,vessel,M/Y Blue Compass,M/Y,,high,recognized vessel type prefix
M/Y Blue Dory,1,vessel,M/Y Blue Dory,M/Y,,high,recognized vessel type prefix
M/Y Blue Skua,1,vessel,M/Y Blue Skua,M/Y,,high,recognized vessel type prefix
M/Y Bright Marlin,1,vessel,M/Y Bright Marlin,M/Y,,high,recognized vessel type prefix
M/Y Clear Gannet,1,vessel,M/Y Clear Gannet,M/Y,,high,recognized vessel type prefix
M/Y Clear Reef,1,vessel,M/Y Clear Reef,M/Y,,high,recognized vessel type prefix
M/Y Coral Dory,1,vessel,M/Y Coral Dory,M/Y,,high,recognized vessel type prefix
M/Y Coral Wind,1,vessel,M/Y Coral Wind,M/Y,40,high,recognized vessel type prefix
M/Y Deep Horizon,1,vessel,M/Y Deep Horizon,M/Y,,high,recognized vessel type prefix
M/Y Deep Petrel,1,vessel,M/Y Deep Petrel,M/Y,,high,recognized vessel type prefix
M/Y Far Skua,1,vessel,M/Y Far Skua,M/Y,,high,recognized vessel type prefix
M/Y GREY OSPREY,1,vessel,M/Y Grey Osprey,M/Y,,high,recognized vessel type prefix
M/Y Golden Kestrel,1,vessel,M/Y Golden Kestrel,M/Y,,high,recognized vessel type prefix
M/Y Golden Wind,1,vessel,M/Y Golden Wind,M/Y,,high,recognized vessel type prefix
M/Y Green Horizon,1,vessel,M/Y Green Horizon,M/Y,,high,recognized vessel type prefix
M/Y Green Tide,1,vessel,M/Y Green Tide,M/Y,,high,recognized vessel type prefix
M/Y Grey Heron,1,vessel,M/Y Grey Heron,M/Y,52,high,recognized vessel type prefix
M/Y High Tern,1,vessel,M/Y High Tern,M/Y,,high,recognized vessel type prefix
M/Y Iron Voyager,1,vessel,M/Y Iron Voyager,M/Y,,high,recognized vessel type prefix
M/Y LONG PETREL,1,vessel,M/Y Long Petrel,M/Y,,high,recognized vessel type prefix
M/Y Northern Compass,1,vessel,M/Y Northern Compass,M/Y,,high,recognized vessel type prefix
M/Y Quiet Cove,1,vessel,M/Y Quiet Cove,M/Y,,high,recognized vessel type prefix
M/Y Quiet Voyager,1,vessel,M/Y Quiet Voyager,M/Y,,high,recognized vessel type prefix
M/Y Salt Cove,1,vessel,M/Y Salt Cove,M/Y,,high,recognized vessel type prefix
M/Y Silver Compass,1,vessel,M/Y Silver Compass,M/Y,,high,recognized vessel type prefix
M/Y Silver Sextant,1,vessel,M/Y Silver Sextant,M/Y,,high,recognized vessel type prefix
M/Y Swift Drift,1,vessel,M/Y Swift Drift,M/Y,,high,recognized vessel type prefix
M/Y Swift Skua,1,vessel,M/Y Swift Skua,M/Y,,high,recognized vessel type prefix
M/Y WILD VOYAGER,1,vessel,M/Y Wild Voyager,M/Y,,high,recognized vessel type prefix
M/Y Western Strand,1,vessel,M/Y Western Strand,M/Y,52,high,recognized vessel type prefix
M/Y Wild Anchor,1,vessel,M/Y Wild Anchor,M/Y,,high,recognized vessel type prefix
M/Y Wild Sextant,1,vessel,M/Y Wild Sextant,M/Y,,high,recognized vessel type prefix
M/Y Wild Tern,1,vessel,M/Y Wild Tern,M/Y,145,high,recognized vessel type prefix
M/Y Wild Wind,1,vessel,M/Y Wild Wind,M/Y,,high,recognized vessel type prefix
OS/V Golden Osprey,1,vessel,OSV Golden Osprey,OSV,,high,recognized vessel type prefix
OS/V Silver Skua,1,vessel,OSV Silver Skua,OSV,24,high,recognized vessel type prefix
OSV Amber Cove,1,vessel,OSV Amber Cove,OSV,,high,recognized vessel type prefix
OSV Blue Drift,1,vessel,OSV Blue Drift,OSV,,high,recognized vessel type prefix
OSV Bright Ledge,1,vessel,OSV Bright Ledge,OSV,,high,recognized vessel type prefix
OSV Clear Dory,1,vessel,OSV Clear Dory,OSV,,high,recognized vessel type prefix
OSV Clear Lantern,1,vessel,OSV Clear Lantern,OSV,,high,recognized vessel type prefix
OSV DEEP HARBOR,1,vessel,OSV Deep Harbor,OSV,,high,recognized vessel type prefix
OSV Far Wind,1,vessel,OSV Far Wind,OSV,,high,recognized vessel type prefix
OSV Green Cove,1,vessel,OSV Green Cove,OSV,,high,recognized vessel type prefix
OSV Green Current,1,vessel,OSV Green Current,OSV,,high,recognized vessel type prefix
OSV Green Ketch,1,vessel,OSV Green Ketch,OSV,,high,recognized vessel type prefix
OSV High Star,1,vessel,OSV High Star,OSV,,high,recognized vessel type prefix
OSV Iron Meridian,1,vessel,OSV Iron Meridian,OSV,,high,recognized vessel type prefix
OSV LONG HARBOR,1,vessel,OSV Long Harbor,OSV,,high,recognized vessel type prefix
OSV Salt Marlin,1,vessel,OSV Salt Marlin,OSV,,high,recognized vessel type prefix
OSV Salt Osprey,1,vessel,OSV Salt Osprey,OSV,,high,recognized vessel type prefix
OSV Salt Voyager,1,vessel,OSV Salt Voyager,OSV,,high,recognized vessel type prefix
OSV Silver Gannet,1,vessel,OSV Silver Gannet,OSV,,high,recognized vessel type prefix
OSV Western Skua,1,vessel,OSV Western Skua,OSV,,high,recognized vessel type prefix
OSV Wild Beacon,1,vessel,OSV Wild Beacon,OSV,,high,recognized vessel type prefix
OSV Wild Lantern,1,vessel,OSV Wild Lantern,OSV,,high,recognized vessel type prefix
R/V Amber Anchor,1,vessel,R/V Amber Anchor,R/V,,high,recognized vessel type prefix
R/V Amber Compass,1,vessel,R/V Amber Compass,R/V,,high,recognized vessel type prefix
R/V Amber Heron,1,vessel,R/V Amber Heron,R/V,,high,recognized vessel type prefix
R/V Amber Ledge,1,vessel,R/V Amber Ledge,R/V,72,high,recognized vessel type prefix
R/V Amber Osprey,1,vessel,R/V Amber Osprey,R/V,,high,recognized vessel type prefix
R/V Amber Tide,1,vessel,R/V Amber Tide,R/V,,high,recognized vessel type prefix
R/V BLUE COVE,1,vessel,R/V Blue Cove,R/V,,high,recognized vessel type prefix
R/V Blue Heron,1,vessel,R/V Blue Heron,R/V,,high,recognized vessel type prefix
R/V Blue Kestrel,1,vessel,R/V Blue Kestrel,R/V,,high,recognized vessel type prefix
R/V Blue Marlin,1,vessel,R/V Blue Marlin,R/V,,high,recognized vessel type prefix
R/V Blue Meridian,1,vessel,R/V Blue Meridian,R/V,,high,recognized vessel type prefix
R/V Blue Reef,1,vessel,R/V Blue Reef,R/V,,high,recognized vessel type prefix
R/V Bright Dory,1,vessel,R/V Bright Dory,R/V,52,high,recognized vessel type prefix
R/V Bright Kestrel,1,vessel,R/V Bright Kestrel,R/V,,high,recognized vessel type prefix
R/V CLEAR FATHOM,1,vessel,R/V Clear Fathom,R/V,,high,recognized vessel type prefix
R/V CLEAR STAR,1,vessel,R/V Clear Star,R/V,,high,recognized vessel type prefix
R/V Clear Fathom,1,vessel,R/V Clear Fathom,R/V,,high,recognized vessel type prefix
R/V Coral Current,1,vessel,R/V Coral Current,R/V,,high,recognized vessel type prefix
R/V Coral Gannet,1,vessel,R/V Coral Gannet,R/V,,high,recognized vessel type prefix
R/V Coral Sound,1,vessel,R/V Coral Sound,R/V,,high,recognized vessel type prefix
R/V Deep Kestrel,1,vessel,R/V Deep Kestrel,R/V,,high,recognized vessel type prefix
R/V FAR STAR,1,vessel,R/V Far Star,R/V,,high,recognized vessel type prefix
R/V Far Marlin,1,vessel,R/V Far Marlin,R/V,,high,recognized vessel type prefix
R/V GOLDEN MARLIN,1,vessel,R/V Golden Marlin,R/V,,high,recognized vessel type prefix
R/V GREEN DRIFT,1,vessel,R/V Green Drift,R/V,,high,recognized vessel type prefix
R/V GREEN HARBOR,1,vessel,R/V Green Harbor,R/V,,high,recognized vessel type prefix
R/V GREEN STRAND,1,vessel,R/V Green Strand,R/V,,high,recognized vessel type prefix
R/V GREY SEXTANT,1,vessel,R/V Grey Sextant,R/V,,high,recognized vessel type prefix
R/V Golden Lantern,1,vessel,R/V Golden Lantern,R/V,,high,recognized vessel type prefix
R/V Golden Meridian,1,vessel,R/V Golden Meridian,R/V,,high,recognized vessel type prefix
R/V Green Marlin,1,vessel,R/V Green Marlin,R/V,,high,recognized vessel type prefix
R/V Green Voyager,1,vessel,R/V Green Voyager,R/V,,high,recognized vessel type prefix
R/V Green Wind,1,vessel,R/V Green Wind,R/V,,high,recognized vessel type prefix
R/V Grey Beacon,1,vessel,R/V Grey Beacon,R/V,,high,recognized vessel type prefix
R/V Grey Kestrel,1,vessel,R/V Grey Kestrel,R/V,,high,recognized vessel type prefix
R/V Grey Lantern,1,vessel,R/V Grey Lantern,R/V,,high,recognized vessel type prefix
R/V Grey Ledge,1,vessel,R/V Grey Ledge,R/V,,high,recognized vessel type prefix
R/V Grey Marlin,1,vessel,R/V Grey Marlin,R/V,,high,recognized vessel type prefix
R/V High Compass,1,vessel,R/V High Compass,R/V,,high,recognized vessel type prefix
R/V High Kestrel,1,vessel,R/V High Kestrel,R/V,,high,recognized vessel type prefix
R/V IRON DORY,1,vessel,R/V Iron Dory,R/V,,high,recognized vessel type prefix
R/V IRON DRIFT,1,vessel,R/V Iron Drift,R/V,,high,recognized vessel type prefix
R/V IRON HARBOR,1,vessel,R/V Iron Harbor,R/V,,high,recognized vessel type prefix
R/V IRON REEF,1,vessel,R/V Iron Reef,R/V,,high,recognized vessel type prefix
R/V IRON STRAND,1,vessel,R/V Iron Strand,R/V,,high,recognized vessel type prefix
R/V Iron Compass,1,vessel,R/V Iron Compass,R/V,,high,recognized vessel type prefix
R/V Iron Cove,1,vessel,R/V Iron Cove,R/V,,high,recognized vessel type prefix
R/V Iron Lantern,1,vessel,R/V Iron Lantern,R/V,,high,recognized vessel type prefix
R/V Iron Osprey,1,vessel,R/V Iron Osprey,R/V,,high,recognized vessel type prefix
R/V LONG STAR,1,vessel,R/V Long Star,R/V,,high,recognized vessel type prefix
R/V Long Fathom,1,vessel,R/V Long Fathom,R/V,,high,recognized vessel type prefix
R/V Long Horizon,1,vessel,R/V Long Horizon,R/V,,high,recognized vessel type prefix
R/V Long Marlin,1,vessel,R/V Long Marlin,R/V,,high,recognized vessel type prefix
R/V Long Tide,1,vessel,R/V Long Tide,R/V,,high,recognized vessel type prefix
R/V NORTHERN MERIDIAN,1,vessel,R/V Northern Meridian,R/V,,high,recognized vessel type prefix
R/V NORTHERN WIND,1,vessel,R/V Northern Wind,R/V,,high,recognized vessel type prefix
R/V Northern Horizon,1,vessel,R/V Northern Horizon,R/V,,high,recognized vessel type prefix
R/V Northern Ledge,1,vessel,R/V Northern Ledge,R/V,,high,recognized vessel type prefix
R/V Northern Reef,1,vessel,R/V Northern Reef,R/V,,high,recognized vessel type prefix
R/V Quiet Anchor,1,vessel,R/V Quiet Anchor,R/V,,high,recognized vessel type prefix
R/V Quiet Dory,1,vessel,R/V Quiet Dory,R/V,,high,recognized vessel type prefix
R/V Quiet Fathom,1,vessel,R/V Quiet Fathom,R/V,,high,recognized vessel type prefix
R/V Quiet Harbor,1,vessel,R/V Quiet Harbor,R/V,,high,recognized vessel type prefix
R/V Quiet Marlin,1,vessel,R/V Quiet Marlin,R/V,,high,recognized vessel type prefix
R/V Quiet Meridian,1,vessel,R/V Quiet Meridian,R/V,,high,recognized vessel type prefix
R/V Quiet Osprey,1,vessel,R/V Quiet Osprey,R/V,,high,recognized vessel type prefix
R/V Quiet Star,1,vessel,R/V Quiet Star,R/V,,high,recognized vessel type prefix
R/V Quiet Strand,1,vessel,R/V Quiet Strand,R/V,,high,recognized vessel type prefix
R/V SALT HERON,1,vessel,R/V Salt Heron,R/V,,high,recognized vessel type prefix
R/V Salt Current,1,vessel,R/V Salt Current,R/V,,high,recognized vessel type prefix
R/V Salt Ledge,1,vessel,R/V Salt Ledge,R/V,,high,recognized vessel type prefix
R/V Silver Heron,1,vessel,R/V Silver Heron,R/V,,high,recognized vessel type prefix
R/V Silver Osprey,1,vessel,R/V Silver Osprey,R/V,,high,recognized vessel type prefix
R/V Swift Current,1,vessel,R/V Swift Current,R/V,,high,recognized vessel type prefix
R/V Swift Gannet,1,vessel,R/V Swift Gannet,R/V,,high,recognized vessel type prefix
R/V Swift Ketch,1,vessel,R/V Swift Ketch,R/V,,high,recognized vessel type prefix
R/V Swift Lantern,1,vessel,R/V Swift Lantern,R/V,,high,recognized vessel type prefix
R/V Swift Osprey,1,vessel,R/V Swift Osprey,R/V,,high,recognized vessel type prefix
R/V Swift Sextant,1,vessel,R/V Swift Sextant,R/V,,high,recognized vessel type prefix
R/V Swift Sound,1,vessel,R/V Swift Sound,R/V,,high,recognized vessel type prefix
R/V Swift Star,1,vessel,R/V Swift Star,R/V,,high,recognized vessel type prefix
R/V WESTERN DRIFT,1,vessel,R/V Western Drift,R/V,,high,recognized vessel type prefix
R/V WILD DORY,1,vessel,R/V Wild Dory,R/V,,high,recognized vessel type prefix
R/V Western Tide,1,vessel,R/V Western Tide,R/V,,high,recognized vessel type prefix
R/V Wild Dory,1,vessel,R/V Wild Dory,R/V,,high,recognized vessel type prefix
R/V Wild Sound,1,vessel,R/V Wild Sound,R/V,,high,recognized vessel type prefix
S/V Amber Gannet,1,vessel,S/V Amber Gannet,S/V,,high,recognized vessel type prefix
S/V Bright Sextant,1,vessel,S/V Bright Sextant,S/V,,high,recognized vessel type prefix
S/V CORAL COMPASS,1,vessel,S/V Coral Compass,S/V,,high,recognized vessel type prefix
S/V CORAL COVE,1,vessel,S/V Coral Cove,S/V,,high,recognized vessel type prefix
S/V Clear Kestrel,1,vessel,S/V Clear Kestrel,S/V,,high,recognized vessel type prefix
S/V Clear Sound,1,vessel,S/V Clear Sound,S/V,,high,recognized vessel type prefix
S/V Coral Fathom,1,vessel,S/V Coral Fathom,S/V,,high,recognized vessel type prefix
S/V Deep Skua,1,vessel,S/V Deep Skua,S/V,,high,recognized vessel type prefix
S/V Deep Tide,1,vessel,S/V Deep Tide,S/V,,high,recognized vessel type prefix
S/V Deep Wind,1,vessel,S/V Deep Wind,S/V,,high,recognized vessel type prefix
S/V FAR DORY,1,vessel,S/V Far Dory,S/V,,high,recognized vessel type prefix
S/V FAR GANNET,1,vessel,S/V Far Gannet,S/V,,high,recognized vessel type prefix
S/V Far Current,1,vessel,S/V Far Current,S/V,,high,recognized vessel type prefix
S/V GOLDEN FATHOM,1,vessel,S/V Golden Fathom,S/V,,high,recognized vessel type prefix
S/V GREEN COMPASS,1,vessel,S/V Green Compass,S/V,,high,recognized vessel type prefix
S/V Golden Beacon,1,vessel,S/V Golden Beacon,S/V,,high,recognized vessel type prefix
S/V Golden Cove,1,vessel,S/V Golden Cove,S/V,,high,recognized vessel type prefix
S/V Golden Dory,1,vessel,S/V Golden Dory,S/V,,high,recognized vessel type prefix
S/V Golden Fathom,1,vessel,S/V Golden Fathom,S/V,,high,recognized vessel type prefix
S/V Golden Reef,1,vessel,S/V Golden Reef,S/V,,high,recognized vessel type prefix
S/V Green Osprey,1,vessel,S/V Green Osprey,S/V,,high,recognized vessel type prefix
S/V Green Petrel,1,vessel,S/V Green Petrel,S/V,,high,recognized vessel type prefix
S/V Green Skua,1,vessel,S/V Green Skua,S/V,,high,recognized vessel type prefix
S/V Grey Drift,1,vessel,S/V Grey Drift,S/V,,high,recognized vessel type prefix
S/V Grey Reef,1,vessel,S/V Grey Reef,S/V,,high,recognized vessel type prefix
S/V Grey Skua,1,vessel,S/V Grey Skua,S/V,,high,recognized vessel type prefix
S/V HIGH HERON,1,vessel,S/V High Heron,S/V,,high,recognized vessel type prefix
S/V High Ketch,1,vessel,S/V High Ketch,S/V,,high,recognized vessel type prefix
S/V High Marlin,1,vessel,S/V High Marlin,S/V,,high,recognized vessel type prefix
S/V Iron Marlin,1,vessel,S/V Iron Marlin,S/V,,high,recognized vessel type prefix
S/V LONG SEXTANT,1,vessel,S/V Long Sextant,S/V,,high,recognized vessel type prefix
S/V Long Gannet,1,vessel,S/V Long Gannet,S/V,,high,recognized vessel type prefix
S/V Long Lantern,1,vessel,S/V Long Lantern,S/V,,high,recognized vessel type prefix
S/V Northern Fathom,1,vessel,S/V Northern Fathom,S/V,,high,recognized vessel type prefix
S/V Quiet Beacon,1,vessel,S/V Quiet Beacon,S/V,,high,recognized vessel type prefix
S/V Quiet Gannet,1,vessel,S/V Quiet Gannet,S/V,,high,recognized vessel type prefix
S/V SALT KESTREL,1,vessel,S/V Salt Kestrel,S/V,,high,recognized vessel type prefix
S/V SILVER WIND,1,vessel,S/V Silver Wind,S/V,,high,recognized vessel type prefix
S/V SWIFT BEACON,1,vessel,S/V Swift Beacon,S/V,,high,recognized vessel type prefix
S/V Salt Beacon,1,vessel,S/V Salt Beacon,S/V,,high,recognized vessel type prefix
S/V Silver Current,1,vessel,S/V Silver Current,S/V,,high,recognized vessel type prefix
S/V Silver Harbor,1,vessel,S/V Silver Harbor,S/V,,high,recognized vessel type prefix
S/V Silver Star,1,vessel,S/V Silver Star,S/V,,high,recognized vessel type prefix
S/V Swift Marlin,1,vessel,S/V Swift Marlin,S/V,,high,recognized vessel type prefix
S/V Swift Reef,1,vessel,S/V Swift Reef,S/V,,high,recognized vessel type prefix
S/V Swift Tide,1,vessel,S/V Swift Tide,S/V,,high,recognized vessel type prefix
S/V Western Wind,1,vessel,S/V Western Wind,S/V,,high,recognized vessel type prefix
S/V Wild Horizon,1,vessel,S/V Wild Horizon,S/V,,high,recognized vessel type prefix
S/Y Clear Beacon,1,vessel,S/Y Clear Beacon,S/Y,170,high,recognized vessel type prefix
S/Y Far Harbor,1,vessel,S/Y Far Harbor,S/Y,,high,recognized vessel type prefix
S/Y High Fathom,1,vessel,S/Y High Fathom,S/Y,,high,recognized vessel type prefix
S/Y High Gannet,1,vessel,S/Y High Gannet,S/Y,100,high,recognized vessel type prefix
S/Y Silver Meridian,1,vessel,S/Y Silver Meridian,S/Y,,high,recognized vessel type prefix
S/Y Wild Petrel,1,vessel,S/Y Wild Petrel,S/Y,,high,recognized vessel type prefix
Tug Amber Horizon,1,vessel,Tug Amber Horizon,Tug,,high,recognized vessel type prefix
Tug Amber Kestrel,1,vessel,Tug Amber Kestrel,Tug,,high,recognized vessel type prefix
Tug Amber Lantern,1,vessel,Tug Amber Lantern,Tug,,high,recognized vessel type prefix
Tug Amber Sextant,1,vessel,Tug Amber Sextant,Tug,,high,recognized vessel type prefix
Tug Bright Anchor,1,vessel,Tug Bright Anchor,Tug,,high,recognized vessel type prefix
Tug Bright Petrel,1,vessel,Tug Bright Petrel,Tug,,high,recognized vessel type prefix
Tug CORAL HERON,1,vessel,Tug Coral Heron,Tug,,high,recognized vessel type prefix
Tug Deep Current,1,vessel,Tug Deep Current,Tug,,high,recognized vessel type prefix
Tug Deep Fathom,1,vessel,Tug Deep Fathom,Tug,,high,recognized vessel type prefix
Tug FAR STRAND,1,vessel,Tug Far Strand,Tug,,high,recognized vessel type prefix
Tug Far Compass,1,vessel,Tug Far Compass,Tug,,high,recognized vessel type prefix
Tug Far Ketch,1,vessel,Tug Far Ketch,Tug,,high,recognized vessel type prefix
Tug Far Ledge,1,vessel,Tug Far Ledge,Tug,,high,recognized vessel type prefix
Tug Far Meridian,1,vessel,Tug Far Meridian,Tug,,high,recognized vessel type prefix
Tug Far Reef,1,vessel,Tug Far Reef,Tug,,high,recognized vessel type prefix
Tug GOLDEN SOUND,1,vessel,Tug Golden Sound,Tug,,high,recognized vessel type prefix
Tug Grey Ketch,1,vessel,Tug Grey Ketch,Tug,,high,recognized vessel type prefix
Tug Grey Voyager,1,vessel,Tug Grey Voyager,Tug,,high,recognized vessel type prefix
Tug Iron Anchor,1,vessel,Tug Iron Anchor,Tug,,high,recognized vessel type prefix
Tug Long Kestrel,1,vessel,Tug Long Kestrel,Tug,,high,recognized vessel type prefix
Tug Long Osprey,1,vessel,Tug Long Osprey,Tug,,high,recognized vessel type prefix
Tug Long Reef,1,vessel,Tug Long Reef,Tug,,high,recognized vessel type prefix
Tug SALT STAR,1,vessel,Tug Salt Star,Tug,,high,recognized vessel type prefix
Tug Silver Fathom,1,vessel,Tug Silver Fathom,Tug,,high,recognized vessel type prefix
Tug Silver Tern,1,vessel,Tug Silver Tern,Tug,,high,recognized vessel type prefix
Tug Swift Ledge,1,vessel,Tug Swift Ledge,Tug,,high,recognized vessel type prefix
Tug Western Lantern,1,vessel,Tug Western Lantern,Tug,,high,recognized vessel type prefix
Tug Wild Strand,1,vessel,Tug Wild Strand,Tug,,high,recognized vessel type prefix
