sheet_year,block_label,row_index,col,day_if_in_block,raw_value,fill
2017,December,151,W,21,Tug Golden Sound,"solid|fg=rgb=""FF005493"" |bg=indexed=""64"""
2018,March,42,H,6,OSV Clear Marlin,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,March,42,AE,29,Fuel truck,"solid|fg=rgb=""FF929000"" |bg=indexed=""64"""
2018,April,54,F,4,Bunker barge,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,April,54,X,22,ETA 1200,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,May,66,C,1,Bunker barge,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,May,66,D,2,Arrival 1400,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,May,66,J,8,Fuel truck,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,May,66,L,10,Water/slops pumping,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,May,66,M,11,OSV Wild Lantern,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,May,66,Q,15,Provisioning,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,June,78,D,2,Fueling @0800,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,June,78,P,14,Bunker barge,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,June,78,Y,23,Fuel truck,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,June,78,AF,30,Water/slops pumping,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,July,90,I,7,Fueling,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,July,90,J,8,Dive training,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,July,90,R,16,Donor reception,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,July,90,U,19,Bunkering 1000,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2018,December,151,B,0,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2018,December,151,C,1,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2018,December,151,D,2,M/V GREY COMPASS,"solid|fg=rgb=""FFF79646"" |bg=rgb=""FF000000"""
2018,December,151,F,4,Barge SILVER VOYAGER,"solid|fg=rgb=""FF31869B"" |bg=rgb=""FF000000"""
2018,December,151,G,5,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=rgb=""FF000000"""
2018,December,151,I,7,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2018,December,151,K,9,M/V NORTHERN HARBOR,"solid|fg=rgb=""FFC00000"" |bg=rgb=""FF000000"""
2018,December,151,M,11,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=rgb=""FF000000"""
2018,December,151,O,13,Returns from sea trials,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2019,March,42,H,6,OSV Clear Marlin,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2019,March,42,AE,29,Fuel truck,""
2019,July,90,R,16,Community sail day,"solid|fg=rgb=""FFFFFF00"" |bg=indexed=""64"""
2019,December,151,B,0,F/V Western Sound,"solid|fg=rgb=""FF00B050"" |bg=rgb=""FF000000"""
2019,December,151,F,4,R/V Long Ketch,"solid|fg=rgb=""FF60497A"" |bg=rgb=""FF000000"""
2019,December,151,G,5,M/V GREY COMPASS,"solid|fg=rgb=""FFF79646"" |bg=rgb=""FF000000"""
2019,December,151,I,7,Barge SILVER VOYAGER,"solid|fg=rgb=""FF31869B"" |bg=rgb=""FF000000"""
2019,December,151,J,8,OSV AMBER REEF,"solid|fg=rgb=""FF008000"" |bg=rgb=""FF000000"""
2019,December,151,L,10,OSV Silver Tide,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
2019,December,151,N,12,M/V NORTHERN HARBOR,"solid|fg=rgb=""FFC00000"" |bg=rgb=""FF000000"""
2019,December,151,P,14,R/V GOLDEN COMPASS,"solid|fg=rgb=""FF4F81BD"" |bg=rgb=""FF000000"""
2019,December,151,R,16,ETD PM,"solid|fg=rgb=""FFFFFF00"" |bg=rgb=""FF000000"""
